,film,is_winner,post_awards_gross,post_awards_num_theaters,post_nom_gross,post_nom_num_theaters,pre_nom_gross,pre_nom_num_theaters,release_date,studio,total_gross,url,year,year_rank,avg_ticket_price,pre_nom_num_tickets,post_nom_num_tickets,post_awards_num_tickets,pre_nom_gross_2016_dollars,post_nom_gross_2016_dollars,post_awards_gross_2016_dollars,pre_nom_gross_2016_dollars_nearest_25m
31,Field of Dreams,FALSE,-,-,-,-,"$64,431,625","1,100",21-Apr,Uni.,"$64,431,625",http://www.boxofficemojo.com/oscar/chart/?view=&yr=1989&p=.htm,1989,19,3.97," 16,229,628.46 ", -   , -   ," $132,596,064.55 ", $-   , $-   ," $130,000,000.00 "
32,Ghost,FALSE,"$1,147,320",205,"$2,918,540",461,"$213,565,446","1,766",13-Jul,Par.,"$217,631,306",http://www.boxofficemojo.com/oscar/chart/?view=&yr=1990&p=.htm,1990,2,4.23," 50,488,285.11 "," 689,962.17 "," 271,234.04 "," $412,489,289.32 "," $5,636,990.97 "," $2,215,982.13 "," $410,000,000.00 "
33,Dances with Wolves,TRUE,"$47,146,299","1,636","$32,712,720","1,608","$104,349,829","1,548",9-Nov,Orion,"$184,208,848",http://www.boxofficemojo.com/oscar/chart/?view=&yr=1990&p=.htm,1990,3,4.23," 24,668,990.31 "," 7,733,503.55 "," 11,145,697.16 "," $201,545,650.81 "," $63,182,723.97 "," $91,060,345.82 "," $200,000,000.00 "
34,The Godfather Part III,FALSE,"$956,077",453,"$3,205,568",736,"$62,504,417","1,922",25-Dec,Par.,"$66,666,062",http://www.boxofficemojo.com/oscar/chart/?view=&yr=1990&p=.htm,1990,17,4.23," 14,776,457.92 "," 757,817.49 "," 226,022.93 "," $120,723,661.20 "," $6,191,368.93 "," $1,846,607.35 "," $120,000,000.00 "
35,Awakenings,FALSE,"$4,282,834",506,"$11,029,766","1,318","$36,783,875","1,330",22-Dec,Col.,"$52,096,475",http://www.boxofficemojo.com/oscar/chart/?view=&yr=1990&p=.htm,1990,23,4.23," 8,695,951.54 "," 2,607,509.69 "," 1,012,490.31 "," $71,045,924.05 "," $21,303,354.19 "," $8,272,045.81 "," $70,000,000.00 "
36,Beauty and the Beast,FALSE,"$20,317,935","1,157","$18,959,249","1,580","$106,586,179","1,960",15-Nov,BV,"$145,863,363",http://www.boxofficemojo.com/oscar/chart/?view=&yr=1991&p=.htm,1991,3,4.21," 25,317,382.19 "," 4,503,384.56 "," 4,826,112.83 "," $206,843,012.45 "," $36,792,651.86 "," $39,429,341.79 "," $200,000,000.00 "
37,The Silence of the Lambs,TRUE,-,-,-,-,"$130,742,922","1,642",14-Feb,Orion,"$130,742,922",http://www.boxofficemojo.com/oscar/chart/?view=&yr=1991&p=.htm,1991,4,4.21," 31,055,325.89 ", -   , -   ," $253,722,012.53 ", $-   , $-   ," $250,000,000.00 "
38,The Prince of Tides,FALSE,"$3,473,888",602,"$11,978,468","1,495","$59,335,243","1,546",27-Dec,Col.,"$74,787,599",http://www.boxofficemojo.com/oscar/chart/?view=&yr=1991&p=.htm,1991,16,4.21," 14,093,881.95 "," 2,845,241.81 "," 825,151.54 "," $115,147,015.51 "," $23,245,625.55 "," $6,741,488.11 "," $110,000,000.00 "
39,JFK,FALSE,"$2,020,514",485,"$10,271,988","1,351","$58,112,996","1,395",20-Dec,WB,"$70,405,498",http://www.boxofficemojo.com/oscar/chart/?view=&yr=1991&p=.htm,1991,17,4.21," 13,803,562.00 "," 2,439,902.14 "," 479,932.07 "," $112,775,101.50 "," $19,934,000.47 "," $3,921,044.98 "," $110,000,000.00 "
40,A Few Good Men,FALSE,"$6,951,811",935,"$14,307,267","1,732","$120,081,100","2,201",11-Dec,Col.,"$141,340,178",http://www.boxofficemojo.com/oscar/chart/?view=&yr=1992&p=.htm,1992,5,4.15," 28,935,204.82 "," 3,447,534.22 "," 1,675,135.18 "," $236,400,623.37 "," $28,166,354.55 "," $13,685,854.43 "," $230,000,000.00 "
41,Unforgiven,TRUE,"$18,250,391","1,026","$7,621,663",810,"$75,285,393","2,087",7-Aug,WB,"$101,157,447",http://www.boxofficemojo.com/oscar/chart/?view=&yr=1992&p=.htm,1992,11,4.15," 18,141,058.55 "," 1,836,545.30 "," 4,397,684.58 "," $148,212,448.39 "," $15,004,575.11 "," $35,929,083.00 "," $140,000,000.00 "
42,Scent of a Woman,FALSE,"$10,415,894",766,"$18,531,150","1,252","$34,148,209","1,252",23-Dec,Uni.,"$63,095,253",http://www.boxofficemojo.com/oscar/chart/?view=&yr=1992&p=.htm,1992,19,4.15," 8,228,484.10 "," 4,465,337.35 "," 2,509,853.98 "," $67,226,715.07 "," $36,481,806.14 "," $20,505,506.98 "," $60,000,000.00 "
43,The Crying Game,FALSE,"$14,922,054","1,001","$33,600,062","1,097","$14,026,831",217,27-Nov,Mira.,"$62,548,947",http://www.boxofficemojo.com/oscar/chart/?view=&yr=1992&p=.htm,1992,20,4.15," 3,379,959.28 "," 8,096,400.48 "," 3,595,675.66 "," $27,614,267.29 "," $66,147,591.94 "," $29,376,670.16 "," $20,000,000.00 "
44,The Fugitive,FALSE,"$89,813",477,"$4,358,936","1,010","$179,427,011","2,425",6-Aug,WB,"$183,875,760",http://www.boxofficemojo.com/oscar/chart/?view=&yr=1993&p=.htm,1993,3,4.14," 43,339,857.73 "," 1,052,883.09 "," 21,693.96 "," $354,086,637.65 "," $8,602,054.86 "," $177,239.66 "," $350,000,000.00 "
45,Schindler's List,TRUE,"$35,761,505","1,389","$30,654,610","1,246","$29,649,653",764,15-Dec,Uni.,"$96,065,768",http://www.boxofficemojo.com/oscar/chart/?view=&yr=1993&p=.htm,1993,9,4.14," 7,161,751.93 "," 7,404,495.17 "," 8,638,044.69 "," $58,511,513.29 "," $60,494,725.53 "," $70,572,825.08 "," $50,000,000.00 "
46,The Piano,FALSE,"$5,176,521",670,"$8,539,877",671,"$25,663,999",523,12-Nov,Mira.,"$40,157,856",http://www.boxofficemojo.com/oscar/chart/?view=&yr=1993&p=.htm,1993,38,4.14," 6,199,033.57 "," 2,062,772.22 "," 1,250,367.39 "," $50,646,104.31 "," $16,852,849.06 "," $10,215,501.59 "," $50,000,000.00 "
47,In the Name of the Father,FALSE,"$4,201,505",659,"$14,365,257",688,"$6,530,100",176,31-Dec,Uni.,"$25,096,862",http://www.boxofficemojo.com/oscar/chart/?view=&yr=1993&p=.htm,1993,61,4.14," 1,577,318.84 "," 3,469,868.84 "," 1,014,856.28 "," $12,886,694.93 "," $28,348,828.43 "," $8,291,375.81 "," $10,000,000.00 "
48,Forrest Gump,TRUE,"$12,229,821","1,135","$16,899,392","1,119","$300,565,286","2,365",6-Jul,Par.,"$329,694,499",http://www.boxofficemojo.com/oscar/chart/?view=&yr=1994&p=.htm,1994,1,4.18," 71,905,570.81 "," 4,042,916.75 "," 2,925,794.50 "," $587,468,513.55 "," $33,030,629.82 "," $23,903,741.05 "," $580,000,000.00 "
49,Pulp Fiction,FALSE,"$12,572,685","1,102","$19,013,310","1,135","$76,342,767","1,494",14-Oct,Mira.,"$107,928,762",http://www.boxofficemojo.com/oscar/chart/?view=&yr=1994&p=.htm,1994,10,4.18," 18,263,819.86 "," 4,548,638.76 "," 3,007,819.38 "," $149,215,408.23 "," $37,162,378.64 "," $24,573,884.32 "," $140,000,000.00 "
50,Four Weddings and a Funeral,FALSE,-,-,-,-,"$52,700,832","1,069",11-Mar,Gram.,"$52,700,832",http://www.boxofficemojo.com/oscar/chart/?view=&yr=1994&p=.htm,1994,21,4.18," 12,607,854.55 ", -   , -   ," $103,006,171.64 ", $-   , $-   ," $100,000,000.00 "
51,The Shawshank Redemption,FALSE,"$3,476,991",732,"$8,082,666",822,"$16,781,812",972,23-Sep,Col.,"$28,341,469",http://www.boxofficemojo.com/oscar/chart/?view=&yr=1994&p=.htm,1994,51,4.18," 4,014,787.56 "," 1,933,652.15 "," 831,816.03 "," $32,800,814.36 "," $15,797,938.09 "," $6,795,936.95 "," $30,000,000.00 "
52,Apollo 13,FALSE,-,-,-,-,"$172,071,312","2,347",30-Jun,Uni.,"$172,071,312",http://www.boxofficemojo.com/oscar/chart/?view=&yr=1995&p=.htm,1995,3,4.35," 39,556,623.45 ", -   , -   ," $323,177,613.57 ", $-   , $-   ," $320,000,000.00 "
53,Braveheart,TRUE,"$2,285,108",491,"$6,277,314",792,"$67,047,523","2,037",24-May,Par.,"$75,609,945",http://www.boxofficemojo.com/oscar/chart/?view=&yr=1995&p=.htm,1995,18,4.35," 15,413,223.68 "," 1,443,060.69 "," 525,312.18 "," $125,926,037.45 "," $11,789,805.83 "," $4,291,800.54 "," $120,000,000.00 "
54,Babe,FALSE,"$864,829",447,"$4,624,380",567,"$58,169,701","1,790",4-Aug,Uni.,"$63,658,910",http://www.boxofficemojo.com/oscar/chart/?view=&yr=1995&p=.htm,1995,28,4.35," 13,372,345.06 "," 1,063,075.86 "," 198,811.26 "," $109,252,059.12 "," $8,685,329.79 "," $1,624,288.03 "," $100,000,000.00 "
55,Sense and Sensibility,FALSE,"$4,049,635","1,000","$14,511,360","1,054","$24,621,781",952,15-Dec,Sony,"$43,182,776",http://www.boxofficemojo.com/oscar/chart/?view=&yr=1995&p=.htm,1995,39,4.35," 5,660,179.54 "," 3,335,944.83 "," 930,950.57 "," $46,243,666.84 "," $27,254,669.24 "," $7,605,866.20 "," $40,000,000.00 "
56,Jerry Maguire,FALSE,"$10,779,530",909,"$21,669,417","1,964","$121,503,645","2,531",13-Dec,Sony,"$153,952,592",http://www.boxofficemojo.com/oscar/chart/?view=&yr=1996&p=.htm,1996,4,4.42," 27,489,512.44 "," 4,902,583.03 "," 2,438,807.69 "," $224,589,316.66 "," $40,054,103.37 "," $19,925,058.85 "," $220,000,000.00 "
57,The English Patient,TRUE,"$15,138,796","1,409","$21,218,055","1,186","$42,319,574","1,042",15-Nov,Mira.,"$78,676,425",http://www.boxofficemojo.com/oscar/chart/?view=&yr=1996&p=.htm,1996,19,4.42," 9,574,564.25 "," 4,800,464.93 "," 3,425,066.97 "," $78,224,189.95 "," $39,219,798.50 "," $27,982,797.13 "," $70,000,000.00 "
58,Shine,FALSE,"$3,351,756",911,"$16,409,515","1,050","$16,131,059",314,22-Nov,FL,"$35,892,330",http://www.boxofficemojo.com/oscar/chart/?view=&yr=1996&p=.htm,1996,41,4.42," 3,649,560.86 "," 3,712,559.95 "," 758,315.84 "," $29,816,912.22 "," $30,331,614.83 "," $6,195,440.39 "," $20,000,000.00 "
59,Fargo,FALSE,"$345,696",27,"$182,961",52,"$24,083,318",716,8-Mar,Gram.,"$24,611,975",http://www.boxofficemojo.com/oscar/chart/?view=&yr=1996&p=.htm,1996,67,4.42," 5,448,714.48 "," 41,393.89 "," 78,211.76 "," $44,515,997.30 "," $338,188.09 "," $638,990.12 "," $40,000,000.00 "
60,Titanic,TRUE,"$105,215,144","3,265","$156,862,280","3,169","$338,710,764","2,956",19-Dec,Par.,"$600,788,188",http://www.boxofficemojo.com/oscar/chart/?view=&yr=1997&p=.htm,1997,1,4.59," 73,793,194.77 "," 34,174,788.67 "," 22,922,689.32 "," $602,890,401.28 "," $279,208,023.44 "," $187,278,371.78 "," $600,000,000.00 "
61,As Good as It Gets,FALSE,"$22,472,407","1,604","$33,367,984","1,837","$92,637,620","1,795",23-Dec,Sony,"$148,478,011",http://www.boxofficemojo.com/oscar/chart/?view=&yr=1997&p=.htm,1997,6,4.59," 20,182,488.02 "," 7,269,713.29 "," 4,895,949.24 "," $164,890,927.10 "," $59,393,557.58 "," $39,999,905.27 "," $160,000,000.00 "
62,Good Will Hunting,FALSE,"$22,338,703","1,805","$47,229,445","2,203","$68,865,287","2,157",5-Dec,Mira.,"$138,433,435",http://www.boxofficemojo.com/oscar/chart/?view=&yr=1997&p=.htm,1997,7,4.59," 15,003,330.50 "," 10,289,639.43 "," 4,866,819.83 "," $122,577,210.19 "," $84,066,354.17 "," $39,761,917.98 "," $120,000,000.00 "
63,L.A. Confidential,FALSE,"$6,930,596",723,"$17,947,775",859,"$39,738,569","1,625",19-Sep,WB,"$64,616,940",http://www.boxofficemojo.com/oscar/chart/?view=&yr=1997&p=.htm,1997,24,4.59," 8,657,640.31 "," 3,910,190.63 "," 1,509,933.77 "," $70,732,921.29 "," $31,946,257.46 "," $12,336,158.89 "," $70,000,000.00 "
64,Saving Private Ryan,FALSE,"$6,327,376",711,"$15,284,805","1,140","$194,928,728","2,807",24-Jul,DW,"$216,540,909",http://www.boxofficemojo.com/oscar/chart/?view=&yr=1998&p=.htm,1998,1,4.69," 41,562,628.57 "," 3,259,020.26 "," 1,349,120.68 "," $339,566,675.43 "," $26,626,195.49 "," $11,022,315.97 "," $330,000,000.00 "
65,Shakespeare in Love,TRUE,"$27,125,049","1,931","$36,643,453","2,030","$36,549,292",833,11-Dec,Mira.,"$100,317,794",http://www.boxofficemojo.com/oscar/chart/?view=&yr=1998&p=.htm,1998,18,4.69," 7,793,026.01 "," 7,813,102.99 "," 5,783,592.54 "," $63,669,022.52 "," $63,833,051.39 "," $47,251,951.03 "," $60,000,000.00 "
66,Life Is Beautiful,FALSE,"$21,257,182","1,136","$17,503,558",685,"$18,486,644",228,23-Oct,Mira.,"$57,247,384",http://www.boxofficemojo.com/oscar/chart/?view=&yr=1998&p=.htm,1998,35,4.69," 3,941,715.14 "," 3,732,101.92 "," 4,532,448.19 "," $32,203,812.68 "," $30,491,272.68 "," $37,030,101.69 "," $30,000,000.00 "
67,The Thin Red Line,FALSE,"$452,462",139,"$5,323,501","1,646","$30,624,528","1,657",25-Dec,Fox,"$36,400,491",http://www.boxofficemojo.com/oscar/chart/?view=&yr=1998&p=.htm,1998,59,4.69," 6,529,750.11 "," 1,135,074.84 "," 96,473.77 "," $53,348,058.37 "," $9,273,561.44 "," $788,190.73 "," $50,000,000.00 "
68,The Sixth Sense,FALSE,"$3,217,865",876,"$11,882,405",992,"$278,406,022","2,821",6-Aug,BV,"$293,506,292",http://www.boxofficemojo.com/oscar/chart/?view=&yr=1999&p=.htm,1999,2,5.08," 54,804,335.04 "," 2,339,056.10 "," 633,437.99 "," $447,751,417.27 "," $19,110,088.36 "," $5,175,188.40 "," $440,000,000.00 "
69,The Green Mile,FALSE,"$1,749,960",451,"$14,433,426","2,335","$120,617,988","2,875",10-Dec,WB,"$136,801,374",http://www.boxofficemojo.com/oscar/chart/?view=&yr=1999&p=.htm,1999,12,5.08," 23,743,698.43 "," 2,841,225.59 "," 344,480.31 "," $193,986,016.13 "," $23,212,813.07 "," $2,814,404.17 "," $190,000,000.00 "
70,American Beauty,TRUE,"$21,628,538","1,990","$33,787,063","1,662","$74,681,000","1,553",15-Sep,DW,"$130,096,601",http://www.boxofficemojo.com/oscar/chart/?view=&yr=1999&p=.htm,1999,13,5.08," 14,700,984.25 "," 6,650,996.65 "," 4,257,586.22 "," $120,107,041.34 "," $54,338,642.66 "," $34,784,479.42 "," $120,000,000.00 "
71,The Cider House Rules,FALSE,"$7,908,466","1,671","$28,905,593","1,738","$20,731,033",843,10-Dec,Mira.,"$57,545,092",http://www.boxofficemojo.com/oscar/chart/?view=&yr=1999&p=.htm,1999,41,5.08," 4,080,912.01 "," 5,690,077.36 "," 1,556,784.65 "," $33,341,051.10 "," $46,487,932.05 "," $12,718,930.56 "," $30,000,000.00 "
72,Gladiator,TRUE,"$835,050",577,"$260,325",41,"$186,610,052","3,188",5-May,DW,"$187,705,427",http://www.boxofficemojo.com/oscar/chart/?view=&yr=2000&p=.htm,2000,4,5.39," 34,621,530.98 "," 48,297.77 "," 154,925.79 "," $282,857,908.13 "," $394,592.81 "," $1,265,743.69 "," $280,000,000.00 "
73,"Crouching Tiger, Hidden Dragon",FALSE,"$21,825,334","2,027","$45,487,799","2,027","$60,765,739","1,204",8-Dec,SPC,"$128,078,872",http://www.boxofficemojo.com/oscar/chart/?view=&yr=2000&p=.htm,2000,12,5.39," 11,273,792.02 "," 8,439,294.81 "," 4,049,227.09 "," $92,106,880.82 "," $68,949,038.56 "," $33,082,185.30 "," $90,000,000.00 "
74,Erin Brockovich,FALSE,-,-,-,-,"$125,595,205","3,070",17-Mar,Uni.,"$125,595,205",http://www.boxofficemojo.com/oscar/chart/?view=&yr=2000&p=.htm,2000,13,5.39," 23,301,522.26 ", -   , -   ," $190,373,436.89 ", $-   , $-   ," $190,000,000.00 "
75,Traffic,FALSE,"$16,434,204","1,684","$36,473,437","1,755","$71,208,084","1,740",27-Dec,USA,"$124,115,725",http://www.boxofficemojo.com/oscar/chart/?view=&yr=2000&p=.htm,2000,15,5.39," 13,211,147.31 "," 6,766,871.43 "," 3,049,017.44 "," $107,935,073.52 "," $55,285,339.57 "," $24,910,472.48 "," $100,000,000.00 "
76,The Lord of the Rings: The Fellowship of the Ring,FALSE,"$15,833,151","1,317","$25,852,924","1,706","$271,678,039","3,381",19-Dec,NL,"$313,364,114",http://www.boxofficemojo.com/oscar/chart/?view=&yr=2001&p=.htm,2001,2,5.66," 47,999,653.53 "," 4,567,654.42 "," 2,797,376.50 "," $392,157,169.37 "," $37,317,736.59 "," $22,854,566.02 "," $390,000,000.00 "
77,A Beautiful Mind,TRUE,"$16,037,690","1,560","$40,999,880","2,220","$113,704,771","2,250",21-Dec,Uni.,"$170,742,341",http://www.boxofficemojo.com/oscar/chart/?view=&yr=2001&p=.htm,2001,11,5.66," 20,089,182.16 "," 7,243,795.05 "," 2,833,514.13 "," $164,128,618.21 "," $59,181,805.58 "," $23,149,810.48 "," $160,000,000.00 "
78,Moulin Rouge!,FALSE,"$39,924",-,"$211,517",57,"$57,135,166","2,283",18-May,Fox,"$57,386,607",http://www.boxofficemojo.com/oscar/chart/?view=&yr=2001&p=.htm,2001,43,5.66," 10,094,552.30 "," 37,370.49 "," 7,053.71 "," $82,472,492.27 "," $305,316.94 "," $57,628.81 "," $80,000,000.00 "
79,Gosford Park,FALSE,"$3,551,827",843,"$15,492,098",918,"$22,264,690",836,26-Dec,USA,"$41,308,615",http://www.boxofficemojo.com/oscar/chart/?view=&yr=2001&p=.htm,2001,59,5.66," 3,933,690.81 "," 2,737,119.79 "," 627,531.27 "," $32,138,253.94 "," $22,362,268.67 "," $5,126,930.49 "," $30,000,000.00 "
80,The Lord of the Rings: The Two Towers,FALSE,"$4,999,009",518,"$13,704,485","1,680","$321,086,387","3,622",18-Dec,NL,"$339,789,881",http://www.boxofficemojo.com/oscar/chart/?view=&yr=2002&p=.htm,2002,2,5.81," 55,264,438.38 "," 2,358,775.39 "," 860,414.63 "," $451,510,461.58 "," $19,271,194.91 "," $7,029,587.53 "," $450,000,000.00 "
81,Chicago,TRUE,"$36,672,984","2,701","$69,446,381","2,600","$64,568,153","1,841",27-Dec,Mira.,"$170,687,518",http://www.boxofficemojo.com/oscar/chart/?view=&yr=2002&p=.htm,2002,10,5.81," 11,113,279.35 "," 11,952,905.51 "," 6,312,045.44 "," $90,795,492.26 "," $97,655,238.00 "," $51,569,411.24 "," $90,000,000.00 "
82,Gangs of New York,FALSE,"$790,386",567,"$6,913,339","1,503","$70,108,275","2,340",20-Dec,Mira.,"$77,812,000",http://www.boxofficemojo.com/oscar/chart/?view=&yr=2002&p=.htm,2002,35,5.81," 12,066,828.74 "," 1,189,903.44 "," 136,038.90 "," $98,585,990.83 "," $9,721,511.12 "," $1,111,437.80 "," $90,000,000.00 "
83,The Hours,FALSE,"$2,786,921",628,"$17,005,934","1,010","$21,883,139",549,27-Dec,Par.,"$41,675,994",http://www.boxofficemojo.com/oscar/chart/?view=&yr=2002&p=.htm,2002,56,5.81," 3,766,461.10 "," 2,927,011.02 "," 479,676.59 "," $30,771,987.20 "," $23,913,680.00 "," $3,918,957.76 "," $30,000,000.00 "
84,The Lord of the Rings: The Return of the King,TRUE,"$12,911,713","1,903","$25,770,604","2,558","$338,345,008","3,703",17-Dec,NL,"$377,027,325",http://www.boxofficemojo.com/oscar/chart/?view=&yr=2003&p=.htm,2003,1,6.03," 56,110,283.25 "," 4,273,732.01 "," 2,141,245.94 "," $458,421,014.16 "," $34,916,390.49 "," $17,493,979.31 "," $450,000,000.00 "
85,Seabiscuit,FALSE,-,-,"$46,320",54,"$120,231,534","2,573",25-Jul,Uni.,"$120,277,854",http://www.boxofficemojo.com/oscar/chart/?view=&yr=2003&p=.htm,2003,17,6.03," 19,938,894.53 "," 7,681.59 ", -   ," $162,900,768.29 "," $62,758.61 ", $-   ," $160,000,000.00 "
86,Master and Commander: The Far Side of the World,FALSE,"$1,358,101",233,"$7,242,452","1,118","$85,327,367","3,101",14-Nov,Fox,"$93,927,920",http://www.boxofficemojo.com/oscar/chart/?view=&yr=2003&p=.htm,2003,31,6.03," 14,150,475.46 "," 1,201,069.98 "," 225,224.05 "," $115,609,384.48 "," $9,812,741.76 "," $1,840,080.46 "," $110,000,000.00 "
87,Mystic River,FALSE,"$7,900,485","1,125","$23,120,655","1,370","$59,114,051","1,581",8-Oct,WB,"$90,135,191",http://www.boxofficemojo.com/oscar/chart/?view=&yr=2003&p=.htm,2003,33,6.03," 9,803,325.21 "," 3,834,271.14 "," 1,310,196.52 "," $80,093,166.94 "," $31,325,995.25 "," $10,704,305.55 "," $80,000,000.00 "
88,The Aviator,FALSE,"$8,966,541","1,579","$35,178,789","2,530","$58,465,000","2,261",17-Dec,Mira.,"$102,610,330",http://www.boxofficemojo.com/oscar/chart/?view=&yr=2004&p=.htm,2004,22,6.21," 9,414,653.78 "," 5,664,861.35 "," 1,443,887.44 "," $76,917,721.42 "," $46,281,917.25 "," $11,796,560.38 "," $70,000,000.00 "
89,Million Dollar Baby,TRUE,"$35,640,465","2,375","$56,352,732","2,125","$8,499,006",147,15-Dec,WB,"$100,492,203",http://www.boxofficemojo.com/oscar/chart/?view=&yr=2004&p=.htm,2004,24,6.21," 1,368,600.00 "," 9,074,514.01 "," 5,739,205.31 "," $11,181,462.00 "," $74,138,779.46 "," $46,889,307.42 "," $10,000,000.00 "
90,Ray,FALSE,"$252,005",141,"$2,003,770",526,"$73,075,825","2,474",29-Oct,Uni.,"$75,331,600",http://www.boxofficemojo.com/oscar/chart/?view=&yr=2004&p=.htm,2004,37,6.21," 11,767,443.64 "," 322,668.28 "," 40,580.52 "," $96,140,014.53 "," $2,636,199.82 "," $331,542.81 "," $90,000,000.00 "
91,Sideways,FALSE,"$8,338,591","1,229","$30,736,061","1,786","$32,428,941",699,22-Oct,FoxS,"$71,503,593",http://www.boxofficemojo.com/oscar/chart/?view=&yr=2004&p=.htm,2004,40,6.21," 5,222,051.69 "," 4,949,446.22 "," 1,342,768.28 "," $42,664,162.31 "," $40,436,975.58 "," $10,970,416.82 "," $40,000,000.00 "
92,Brokeback Mountain,FALSE,"$4,182,162","1,272","$27,211,599","2,089","$51,650,000","1,654",9-Dec,Focus,"$83,043,761",http://www.boxofficemojo.com/oscar/chart/?view=&yr=2005&p=.htm,2005,22,6.41," 8,057,722.31 "," 4,245,179.25 "," 652,443.37 "," $65,831,591.26 "," $34,683,114.48 "," $5,330,462.33 "," $60,000,000.00 "
