,film,is_winner,post_awards_gross,post_awards_num_theaters,post_nom_gross,post_nom_num_theaters,pre_nom_gross,pre_nom_num_theaters,release_date,studio,total_gross,url,year,year_rank,avg_ticket_price,pre_nom_num_tickets,post_nom_num_tickets,post_awards_num_tickets,pre_nom_gross_2016_dollars,post_nom_gross_2016_dollars,post_awards_gross_2016_dollars,pre_nom_gross_2016_dollars_nearest_25m
145,Captain Phillips,FALSE,-,-,"$2,046,348",903,"$105,054,507","3,143",11-Oct,Sony,"$107,100,855",http://www.boxofficemojo.com/oscar/chart/?view=&yr=2013&p=.htm,2013,32,8.13," 12,921,833.58 "," 251,703.32 ", -   ," $105,571,380.34 "," $2,056,416.13 ", $-   ," $100,000,000.00 "
146,12 Years a Slave,TRUE,"$6,335,697","1,065","$11,288,643","1,231","$39,047,653","1,474",18-Oct,FoxS,"$56,671,993",http://www.boxofficemojo.com/oscar/chart/?view=&yr=2013&p=.htm,2013,62,8.13," 4,802,909.35 "," 1,388,516.97 "," 779,298.52 "," $39,239,769.37 "," $11,344,183.68 "," $6,366,868.94 "," $30,000,000.00 "
147,Philomena,FALSE,"$3,098,470","1,097","$12,087,177","1,225","$22,524,332",835,22-Nov,Wein.,"$37,709,979",http://www.boxofficemojo.com/oscar/chart/?view=&yr=2013&p=.htm,2013,80,8.13," 2,770,520.54 "," 1,486,737.64 "," 381,115.62 "," $22,635,152.82 "," $12,146,646.51 "," $3,113,714.62 "," $20,000,000.00 "
148,Dallas Buyers Club,FALSE,"$1,973,191",312,"$8,513,627","1,110","$16,811,467",734,1-Nov,Focus,"$27,298,285",http://www.boxofficemojo.com/oscar/chart/?view=&yr=2013&p=.htm,2013,95,8.13," 2,067,831.12 "," 1,047,186.59 "," 242,704.92 "," $16,894,180.24 "," $8,555,514.46 "," $1,982,899.20 "," $10,000,000.00 "
149,Her (2013),FALSE,"$973,907",250,"$14,148,002","1,729","$10,446,342","1,729",18-Dec,WB,"$25,568,251",http://www.boxofficemojo.com/oscar/chart/?view=&yr=2013&p=.htm,2013,100,8.13," 1,284,912.92 "," 1,740,221.65 "," 119,791.76 "," $10,497,738.52 "," $14,217,610.87 "," $978,698.67 "," $10,000,000.00 "
150,American Sniper,FALSE,"$30,116,747","3,235","$316,636,903","3,885","$3,372,722",4,25-Dec,WB,"$350,126,372",http://www.boxofficemojo.com/oscar/chart/?view=&yr=2014&p=.htm,2014,1,8.17," 412,817.87 "," 38,756,046.88 "," 3,686,260.34 "," $3,372,722.00 "," $316,636,903.00 "," $30,116,747.00 ", $-   
151,The Imitation Game,FALSE,"$7,242,144","1,408","$41,106,793","2,402","$42,776,746","1,566",28-Nov,Wein.,"$91,125,683",http://www.boxofficemojo.com/oscar/chart/?view=&yr=2014&p=.htm,2014,36,8.17," 5,235,831.82 "," 5,031,431.21 "," 886,431.33 "," $42,776,746.00 "," $41,106,793.00 "," $7,242,144.00 "," $40,000,000.00 "
152,The Grand Budapest Hotel,FALSE,-,-,-,-,"$59,100,318","1,467",7-Mar,FoxS,"$59,100,318",http://www.boxofficemojo.com/oscar/chart/?view=&yr=2014&p=.htm,2014,55,8.17," 7,233,821.05 ", -   , -   ," $59,100,318.00 ", $-   , $-   ," $50,000,000.00 "
153,Selma,FALSE,"$2,526,704",702,"$33,001,737","2,235","$16,548,467","2,179",25-Dec,Par.,"$52,076,908",http://www.boxofficemojo.com/oscar/chart/?view=&yr=2014&p=.htm,2014,61,8.17," 2,025,516.16 "," 4,039,380.29 "," 309,266.10 "," $16,548,467.00 "," $33,001,737.00 "," $2,526,704.00 "," $10,000,000.00 "
154,Birdman,TRUE,"$4,559,706","1,213","$11,179,437",976,"$26,601,455",862,17-Oct,FoxS,"$42,340,598",http://www.boxofficemojo.com/oscar/chart/?view=&yr=2014&p=.htm,2014,78,8.17," 3,255,992.04 "," 1,368,352.14 "," 558,103.55 "," $26,601,455.00 "," $11,179,437.00 "," $4,559,706.00 "," $20,000,000.00 "
155,The Theory of Everything,FALSE,"$1,760,540",611,"$7,930,592",858,"$26,202,405","1,220",7-Nov,Focus,"$35,893,537",http://www.boxofficemojo.com/oscar/chart/?view=&yr=2014&p=.htm,2014,85,8.17," 3,207,148.71 "," 970,696.70 "," 215,488.37 "," $26,202,405.00 "," $7,930,592.00 "," $1,760,540.00 "," $20,000,000.00 "
156,Boyhood,FALSE,"$36,767",170,"$942,668",204,"$24,352,932",775,11-Jul,IFC,"$25,352,281",http://www.boxofficemojo.com/oscar/chart/?view=&yr=2014&p=.htm,2014,100,8.17," 2,980,775.03 "," 115,381.64 "," 4,500.24 "," $24,352,932.00 "," $942,668.00 "," $36,767.00 "," $20,000,000.00 "
